300 1.55699	0.83649
671	0.16291	4.07996
672	0.16307	4.08711
673	0.16324	4.09427
674	0.1634	4.10142
675	0.16356	4.10857
676	0.16373	4.11573
677	0.16389	4.12288
678	0.16406	4.13003
679	0.16422	4.13719
680	0.16438	4.14434
681	0.16455	4.15149
682	0.16472	4.15863
683	0.16488	4.16575
684	0.16505	4.17287
685	0.16522	4.18
686	0.16539	4.18712
687	0.16555	4.19424
688	0.16572	4.20137
689	0.16589	4.20849
690	0.16606	4.21561
691	0.16622	4.22273
692	0.16639	4.22986
693	0.16656	4.23698
694	0.16673	4.2441
695	0.16689	4.25123
696	0.16707	4.25834
697	0.16724	4.26543
698	0.16741	4.27253
699	0.16758	4.27962
700	0.16775	4.28671
701	0.16792	4.29381
702	0.16809	4.3009
703	0.16827	4.308
704	0.16844	4.31509
705	0.16861	4.32218
706	0.16878	4.32928
707	0.16895	4.33637
708	0.16912	4.34347
709	0.16929	4.35056
710	0.16947	4.35766
711	0.16964	4.36472
712	0.16982	4.37179
713	0.16999	4.37886
714	0.17017	4.38593
715	0.17034	4.39299
716	0.17052	4.40006
717	0.1707	4.40713
718	0.17087	4.4142
719	0.17105	4.42126
720	0.17122	4.42833
721	0.1714	4.4354
722	0.17157	4.44246
723	0.17175	4.44953
724	0.17192	4.4566
725	0.1721	4.46366
726	0.17228	4.4707
727	0.17246	4.47775
728	0.17264	4.48479
729	0.17282	4.49183
730	0.173	4.49887
731	0.17318	4.50592
732	0.17336	4.51296
733	0.17354	4.52
734	0.17372	4.52704
735	0.1739	4.53408
736	0.17408	4.54113
737	0.17425	4.54817
738	0.17443	4.55521
739	0.17461	4.56225
740	0.1748	4.56929
741	0.17498	4.57631
742	0.17516	4.58333
743	0.17535	4.59035
744	0.17553	4.59737
745	0.17571	4.60439
746	0.1759	4.6114
747	0.17608	4.61842
748	0.17626	4.62544
749	0.17645	4.63246
750	0.17663	4.63948
751	0.17681	4.6465
752	0.177	4.65352
753	0.17718	4.66053
754	0.17737	4.66755
755	0.17755	4.67457
756	0.17774	4.68157
757	0.17793	4.68857
758	0.17811	4.69557
759	0.1783	4.70256
760	0.17849	4.70956
761	0.17868	4.71656
762	0.17886	4.72355
763	0.17905	4.73055
764	0.17924	4.73755
765	0.17943	4.74454
766	0.17962	4.75154
767	0.1798	4.75853
768	0.17999	4.76553
769	0.18018	4.77253
770	0.18037	4.77952
771	0.18056	4.78652
